"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1405_i_at","CCL5","6352","C-C motif chemokine ligand 5",1.08138778375455,5.09167991642324,1.3597913148563,0.18504296763405,0.34275659404984,-5.27214611211131
"2","1438_at","EPHB3","2049","EPH receptor B3",-0.593154932333287,6.51756337706651,-1.35681586838542,0.185975423185863,0.343737645492669,-5.27588665733957
"3","1552256_a_at","SCARB1","949","scavenger receptor class B member 1",-0.253195237009577,7.37421185231015,-0.758221738422818,0.454827122506905,0.604677914055042,-5.87559901076818
"4","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like",1.10039137628407,5.66451313126479,3.72419821144301,0.000904021215809321,0.0224398708534187,-0.658558282011869
"5","1552289_a_at","CILP2","148113","cartilage intermediate layer protein 2",-0.735323494803527,5.92053559568745,-1.00156960948447,0.325364054068734,0.486900355539199,-5.6696075894888
"6","1552329_at","RBBP6","5930","RB binding protein 6, ubiquitin ligase",0.215081357055445,5.04285276967166,0.7701989562388,0.447808885382341,0.598819729021349,-5.86672580249466
"7","1552417_a_at","NEDD1","121441","NEDD1 gamma-tubulin ring complex targeting factor",0.908048751971491,4.18888943096394,3.26391594888617,0.00295854351602064,0.0386051684276434,-1.73716209646241
"8","1552476_s_at","PLCD3","113026","phospholipase C delta 3",0.60760039833874,5.31207278598842,1.9206235298863,0.0653016995466589,0.183499594714957,-4.44793732042348
"9","1552477_a_at","IRF6","3664","interferon regulatory factor 6",-0.894065574939821,7.00435565698189,-1.74676306951531,0.0919441320521343,0.225457560559536,-4.72762706828374
"10","1552487_a_at","BNC1","646","basonuclin 1",-0.420893792723755,5.24447957092755,-0.81402900630513,0.422685960044174,0.576852196453551,-5.83312443934778
"11","1552496_a_at","COBL","23242","cordon-bleu WH2 repeat protein",-0.637497220360309,5.25987068655671,-1.58117029162712,0.125379552211632,0.269571381651948,-4.97437836207801
"12","1552519_at","ACVR1C","130399","activin A receptor type 1C",1.12840110139661,5.09695586361403,2.26211618953187,0.0318711578450641,0.12084687833752,-3.84274709573702
"13","1552532_a_at","ATP6V1C2","245973","ATPase H+ transporting V1 subunit C2",-1.15667813037302,5.98272268125487,-3.66391903973723,0.00105823814707514,0.024597941077636,-0.80244024421321
"14","1552544_at","SERPINA12","145264","serpin family A member 12",0.489426120880795,9.28544021219311,0.737114242810529,0.467353372147515,0.614988657615596,-5.89091214440606
"15","1552584_at","IL12RB1","3594","interleukin 12 receptor subunit beta 1",0.462803087475293,4.83356158272572,1.1775661915839,0.249153545891368,0.408825792282388,-5.48788007214376
"16","1552620_at","SPRR4","163778","small proline rich protein 4",-0.147171073004024,7.80113693399632,-0.213301447952668,0.832679861544384,0.894195703987625,-6.13487859224989
"17","1552625_a_at","TRNT1","51095","tRNA nucleotidyl transferase 1",0.74739574632536,4.75343747098923,2.31552903985419,0.0283465279832414,0.113361588214283,-3.74197229059024
"18","1552658_a_at","NAV3","89795","neuron navigator 3",1.22187668456132,5.01437983980761,4.0887649939039,0.000344993350571422,0.0153995261971881,0.224101259903535
"19","1552667_a_at","SH2D3C","10044","SH2 domain containing 3C",0.143205913042572,4.78391799594471,0.401182420888616,0.691414898921911,0.795324230367644,-6.07789085834836
"20","1552685_a_at","GRHL1","29841","grainyhead like transcription factor 1",-0.378187661645713,7.06088338666363,-0.839751384760404,0.408356146272,0.563542654390142,-5.81258231075453
"21","1552701_a_at","CARD16","114769","caspase recruitment domain family member 16",1.49693098412975,5.27174557291819,2.45245439698343,0.0208716017175965,0.0970099831513877,-3.47673982084438
"22","1552733_at","KLHDC1","122773","kelch domain containing 1",0.591275311735046,5.66198733085351,1.46532904084638,0.154276689300099,0.305885071080856,-5.13492601077957
"23","1552789_at","SEC62","7095","SEC62 homolog, preprotein translocation factor",0.988176114684569,4.61832531313301,3.51397525860189,0.00156160396226373,0.0286426559478482,-1.15719805957689
"24","1552797_s_at","PROM2","150696","prominin 2",-0.976768319652031,8.09575893141516,-2.5452353888268,0.0168869927633846,0.0872725322730655,-3.29166759534589
"25","1552921_a_at","FIGNL1","63979","fidgetin like 1",0.524595875914978,4.67677498721688,1.27196519992814,0.214135163215748,0.373993127991354,-5.37953856635639
"26","1552978_a_at","SCAMP1","9522","secretory carrier membrane protein 1",1.03713662524394,6.0830916810009,3.07162091967574,0.0047876285571012,0.0477248981067558,-2.17129842203098
"27","1553062_at","MOGAT1","116255","monoacylglycerol O-acyltransferase 1",-1.17502643207151,5.68098532209682,-1.32293466478465,0.196853316718164,0.355584194279365,-5.31797702254725
"28","1553072_at","BNIPL","149428","BCL2 interacting protein like",-0.463949471263128,4.91220885115925,-1.29523821635847,0.206105678995128,0.365926450141297,-5.35169267615485
"29","1553077_at","SDR9C7","121214","short chain dehydrogenase/reductase family 9C member 7",0.0582391485257618,5.48609663936776,0.136613251142951,0.89234095121351,0.932750949456318,-6.14816046068415
"30","1553081_at","WFDC12","128488","WAP four-disulfide core domain 12",-0.551342388507925,7.0927246520623,-0.92356433149705,0.363820460971667,0.524017819857535,-5.74146835547186
"31","1553101_a_at","ALKBH5","54890","alkB homolog 5, RNA demethylase",-0.247388212965269,6.87105040838071,-0.653609705341811,0.518841792294421,0.661035109960359,-5.94741193697141
"32","1553105_s_at","DSG2","1829","desmoglein 2",-0.428839915852073,5.9253878405484,-1.06322833648159,0.297011386866462,0.45842271583673,-5.60899703205486
"33","1553113_s_at","CDK8","1024","cyclin dependent kinase 8",0.726876525984915,5.37731835728635,2.77595360738223,0.0098308373116566,0.0663095597772826,-2.81432613452201
"34","1553145_at","TAPT1-AS1","202020","TAPT1 antisense RNA 1 (head to head)",-0.246746497686384,5.84564336108097,-0.664123518246214,0.512192718839294,0.655402442640157,-5.94065857025878
"35","1553148_a_at","SNX13","23161","sorting nexin 13",0.913275792445942,5.6718729122621,2.76000727442859,0.0102116726464014,0.0671226062306645,-2.84805510111518
"36","1553211_at","ANKFN1","162282","ankyrin repeat and fibronectin type III domain containing 1",0.300125662437966,4.54028863542845,0.795476807133079,0.43321196139663,0.584940039270868,-5.84756330109546
"37","1553269_at","ZNF718","255403","zinc finger protein 718",0.632860420942645,3.34154321519009,1.54890272515812,0.132943578961704,0.279519554932402,-5.02012102634307
"38","1553333_at","MAB21L3","126868","mab-21 like 3",0.676180929869342,4.10494569060147,1.67218270930432,0.105935074897044,0.245033099357113,-4.84120930051404
"39","1553394_a_at","TFAP2B","7021","transcription factor AP-2 beta",-0.911181023881394,5.31893060319195,-1.84292946710647,0.0762448864551637,0.200438430617577,-4.57544315313773
"40","1553407_at","MACF1","23499","microtubule actin crosslinking factor 1",-0.928949532041632,5.75985345155079,-3.43842079069626,0.00189682255588289,0.0306652979867735,-1.3340799843812
"41","1553454_at","RPTN","126638","repetin",-0.723206194151869,4.36966405463129,-1.06371320108606,0.296795553654845,0.458229804908184,-5.60850722691749
"42","1553575_at","ND6","4541","NADH dehydrogenase, subunit 6 (complex I)",-0.612861043947044,8.92322390807937,-1.51434312563583,0.141454305712693,0.29022039037168,-5.06824249397366
"43","1553589_a_at","PDZK1IP1","10158","PDZK1 interacting protein 1",-0.911673924873909,7.93363288908537,-1.90675840931893,0.0671482225366505,0.18640376140609,-4.4709834625373
"44","1553602_at","MUCL1","118430","mucin like 1",-0.385292043119918,12.0694892292639,-0.695489704480157,0.492638235201685,0.638712394886536,-5.91989285061192
"45","1553613_s_at","FOXC1","2296","forkhead box C1",-1.33730316107119,6.8523551593454,-2.83484885748642,0.00853696711085405,0.0625192989445914,-2.68886309671183
"46","1553703_at","ZNF791","163049","zinc finger protein 791",-0.285319469895068,8.43244749927866,-0.899651607196789,0.37618852055224,0.53506057731273,-5.76240643559664
"47","1553749_at","FAM76B","143684","family with sequence similarity 76 member B",0.743037725669647,4.67364015316566,0.904246440889176,0.373790950990519,0.53274980412438,-5.75842319164847
"48","1553834_at","COL6A5","256076","collagen type VI alpha 5 chain",0.578413008628631,4.55412495211141,0.681225536925937,0.501478169471845,0.646093457679689,-5.92945096107956
"49","1553906_s_at","FGD2","221472","FYVE, RhoGEF and PH domain containing 2",-0.00540355292789307,9.22937364101794,-0.0141431521789849,0.988818828974796,0.99264646171503,-6.15730687521694
"50","1553929_at","ACER1","125981","alkaline ceramidase 1",-0.656178921421694,6.34328993730295,-1.67630799998441,0.105117027463523,0.243737811008247,-4.83503030254982
"51","1553946_at","DCD","117159","dermcidin",0.234726778104047,12.7104237047286,0.265767689669827,0.792418832153246,0.866674420274912,-6.12245020134947
"52","1553954_at","ALG14","199857","ALG14 UDP-N-acetylglucosaminyltransferase subunit",0.276619869394119,6.57515647235075,0.812203609135158,0.423714574601343,0.577626030888966,-5.83455915655318
"53","1553955_at","PPP1R21","129285","protein phosphatase 1 regulatory subunit 21",0.398220441484717,7.479003487538,1.47068476848693,0.152831686365694,0.304045451305332,-5.12772967041358
"54","1553960_at","SNX21","90203","sorting nexin family member 21",0.546919567586833,7.188885260954,1.53007627751582,0.137526482640612,0.28570163856641,-5.0464476418373
"55","1553962_s_at","RHOB","388","ras homolog family member B",0.675425910671623,5.2060347828675,1.40071432648464,0.172586016329536,0.32788092895148,-5.21998248100799
"56","1554018_at","GPNMB","10457","glycoprotein nmb",0.854131763294181,6.01830049930673,1.63788296454215,0.112945101956663,0.253267907767434,-4.89210816316378
"57","1554067_at","C12orf66","144577","chromosome 12 open reading frame 66",-0.120909491883143,5.85120142231065,-0.344892647274578,0.732823319258031,0.826556534511965,-6.09859184349391
